宝安中心站,购物公园站,357
宝华站,购物公园站,36
大学城站,购物公园站,118
大剧院站,购物公园站,2474
塘朗站,购物公园站,72
通新岭站,购物公园站,528
吉祥站,购物公园站,196
塘坑站,购物公园站,346
南联站,购物公园站,239
双龙站,购物公园站,261
大新站,购物公园站,1095
后海站,购物公园站,585
莲花西站,购物公园站,181
购物公园站,莲花村站,554
翠竹站,购物公园站,594
荷坳站,购物公园站,188
老街站,购物公园站,1300
莲花北站,购物公园站,553
翻身站,购物公园站,281
红树湾站,购物公园站,52
罗湖站,购物公园站,987
白石龙站,购物公园站,736
百鸽笼站,购物公园站,395
白石洲站,购物公园站,1702
购物公园站,华侨城站,504
丹竹头站,购物公园站,712
东角头站,购物公园站,200
下水径站,购物公园站,288
前海湾站,购物公园站,12
购物公园站,侨城东站,904
购物公园站,湖贝站,322
华强北站,购物公园站,159
世界之窗站,购物公园站,1427
购物公园站,侨城北站,89
六约站,购物公园站,312
购物公园站,会展中心站,849
侨香站,购物公园站,212
兴东站,购物公园站,145
临海站,购物公园站,11
华新站,购物公园站,667
五和站,购物公园站,576
上水径站,购物公园站,156
国贸站,购物公园站,1254
固戍站,购物公园站,725
后瑞站,购物公园站,286
福永站,购物公园站,186
南山站,购物公园站,726
机场站,购物公园站,195
碧海湾站,购物公园站,374
宝安站,购物公园站,167
桥头站,购物公园站,169
购物公园站,香蜜湖站,730
购物公园站,鲤鱼门站,534
大芬站,购物公园站,736
太安站,购物公园站,289
大运站,购物公园站,218
购物公园站,福田口岸站,879
竹子林站,购物公园站,1347
购物公园站,福田站,403
红山站,购物公园站,604
科学馆站,购物公园站,1204
科苑站,购物公园站,291
红岭站,购物公园站,657
上梅林站,购物公园站,596
购物公园站,高新园站,1717
购物公园站,香蜜站,88
安托山站,购物公园站,70
坂田站,购物公园站,279
购物公园站,福民站,970
少年宫站,购物公园站,597
岗厦站,购物公园站,3203
坪洲站,购物公园站,1241
宝体站,购物公园站,272
市民中心站,购物公园站,247
购物公园站,益田站,1799
购物公园站,石厦站,1866
购物公园站,深湾站,21
购物公园站,布吉站,697
上塘站,购物公园站,398
购物公园站,深圳湾公园站,178
购物公园站,民治站,399
怡景站,购物公园站,209
购物公园站,民乐站,792
购物公园站,布心站,188
购物公园站,横岗站,357
新安站,购物公园站,273
购物公园站,蛇口港站,72
西丽站,西乡站,904
长龙站,西丽站,752
草埔站,西丽站,251
香梅北站,西丽站,124
西丽站,龙井站,979
龙城广场站,西丽站,140
珠光站,西丽站,1369
西丽站,龙华站,1066
西丽站,沙尾站,947
西丽站,上沙站,608
皇岗村站,西丽站,174
西丽站,农林站,597
西丽站,桃源村站,1424
西丽站,皇岗口岸站,123
西丽湖站,西丽站,1144
西丽站,深云站,316
茶光站,西丽站,282
华强路站,西丽站,172
龙胜站,西丽站,836
西丽站,黄贝岭站,532
红树湾南站,西丽站,16
红岭北站,西丽站,181
笋岗站,西丽站,150
赤尾站,西丽站,211
洪湖站,西丽站,85
华强南站,西丽站,366
黄木岗站,西丽站,140
八卦岭站,西丽站,171
下沙站,西丽站,715
西丽站,文锦站,11
梅景站,西丽站,148
香梅站,西丽站,179
西丽站,人民南站,32
西丽站,向西村站,40
下梅林站,西丽站,114
西丽站,鹿丹村站,32
西丽站,松岗站,174
马安山站,西丽站,161
西丽站,梅村站,93
西丽站,孖岭站,89
红岭南站,西丽站,35
沙井站,西丽站,246
后亭站,西丽站,116
西丽站,泥岗站,86
园岭站,西丽站,132
碧头站,西丽站,55
西丽站,银湖站,31
西丽站,塘尾站,133
水贝站,西丽站,83
深康站,西丽站,79
清湖站,西丽站,1495
西丽站,深大站,352
西丽站,深圳北站,3871
水湾站,西丽站,292
西丽站,湾厦站,103
西丽站,爱联站,163
西丽站,田贝站,150
西丽站,燕南站,145
西丽站,登良站,449
西丽站,灵芝站,2268
西丽站,留仙洞站,1179
海月站,西丽站,182
洪浪北站,西丽站,1850
永湖站,西丽站,62
海上世界站,西丽站,178
机场东站,西丽站,253
新秀站,西丽站,58
晒布站,西丽站,111
桃园站,西丽站,413
景田站,西丽站,454
杨美站,西丽站,1235
木棉湾站,西丽站,212
岗厦北站,西丽站,271
宝安中心站,西丽站,1190
宝华站,西丽站,369
大学城站,西丽站,2367
大剧院站,西丽站,511
塘朗站,西丽站,2319
通新岭站,西丽站,91
吉祥站,西丽站,152
塘坑站,西丽站,192
南联站,西丽站,145
双龙站,西丽站,275
大新站,西丽站,519
后海站,西丽站,752
莲花西站,西丽站,259
西丽站,莲花村站,89
翠竹站,西丽站,134
荷坳站,西丽站,140
老街站,西丽站,450
莲花北站,西丽站,149
翻身站,西丽站,1771
红树湾站,西丽站,69
罗湖站,西丽站,291
西丽站,白石龙站,457
西丽站,百鸽笼站,359
西丽站,白石洲站,83
华侨城站,西丽站,92
丹竹头站,西丽站,419
东角头站,西丽站,190
下水径站,西丽站,725
前海湾站,西丽站,94
西丽站,侨城东站,77
西丽站,湖贝站,179
华强北站,西丽站,710
世界之窗站,西丽站,342
西丽站,侨城北站,344
六约站,西丽站,205
西丽站,会展中心站,533
侨香站,西丽站,207
兴东站,西丽站,2605
临海站,西丽站,19
华新站,西丽站,260
五和站,西丽站,4480
上水径站,西丽站,785
国贸站,西丽站,230
固戍站,西丽站,966
后瑞站,西丽站,273
西丽站,福永站,334
南山站,西丽站,713
西丽站,机场站,273
西丽站,碧海湾站,140
宝安站,西丽站,34
西丽站,桥头站,210
机场北站,西丽站,1
香蜜湖站,西丽站,81
西丽站,鲤鱼门站,266
大芬站,西丽站,336
太安站,西丽站,234
大运站,西丽站,194
西丽站,福田口岸站,296
西丽站,竹子林站,210
西丽站,福田站,367
红山站,西丽站,325
西丽站,科学馆站,184
西丽站,科苑站,1285
红岭站,西丽站,114
上梅林站,西丽站,470
西丽站,高新园站,370
西丽站,香蜜站,62
安托山站,西丽站,296
坂田站,西丽站,2082
西丽站,福民站,367
少年宫站,西丽站,227
岗厦站,西丽站,333
坪洲站,西丽站,1119
宝体站,西丽站,334
市民中心站,西丽站,248
西丽站,益田站,334
西丽站,石厦站,482
深湾站,西丽站,12
布吉站,西丽站,1116
上塘站,西丽站,430
西丽站,深圳湾公园站,280
民治站,西丽站,4227
怡景站,西丽站,523
民乐站,西丽站,371
布心站,西丽站,208
横岗站,西丽站,257
新安站,西丽站,118
西丽站,蛇口港站,95
长龙站,西乡站,116
草埔站,西乡站,37
香梅北站,西乡站,32
西乡站,龙井站,87
龙城广场站,西乡站,31
西乡站,珠光站,205
西乡站,龙华站,344
西乡站,沙尾站,109
西乡站,上沙站,45
皇岗村站,西乡站,20
西乡站,农林站,18
西乡站,桃源村站,77
西乡站,皇岗口岸站,25
西丽湖站,西乡站,64
西乡站,深云站,25
茶光站,西乡站,147
华强路站,西乡站,737
龙胜站,西乡站,200
西乡站,黄贝岭站,94
西乡站,红树湾南站,13
西乡站,红岭北站,28
笋岗站,西乡站,26
赤尾站,西乡站,35
洪湖站,西乡站,8
华强南站,西乡站,11
黄木岗站,西乡站,16
八卦岭站,西乡站,20
下沙站,西乡站,144
文锦站,西乡站,1
梅景站,西乡站,32
香梅站,西乡站,14
人民南站,西乡站,1
西乡站,向西村站,2
下梅林站,西乡站,29
西乡站,鹿丹村站,2
松岗站,西乡站,85
马安山站,西乡站,44
西乡站,梅村站,39
西乡站,孖岭站,26
红岭南站,西乡站,1
沙井站,西乡站,93
后亭站,西乡站,17
泥岗站,西乡站,13
园岭站,西乡站,35
碧头站,西乡站,27
银湖站,西乡站,4
塘尾站,西乡站,41
西乡站,水贝站,27
西乡站,深康站,16
西乡站,清湖站,411
西乡站,深大站,6968
西乡站,深圳北站,1244
西乡站,水湾站,89
西乡站,湾厦站,49
西乡站,爱联站,43
西乡站,田贝站,57
西乡站,燕南站,20
西乡站,登良站,93
西乡站,灵芝站,1232
西乡站,留仙洞站,655
西乡站,海月站,85
西乡站,洪浪北站,992
西乡站,永湖站,18
西乡站,海上世界站,68
机场东站,西乡站,2094
新秀站,西乡站,19
晒布站,西乡站,67
西乡站,桃园站,1882
景田站,西乡站,122
杨美站,西乡站,179
木棉湾站,西乡站,44
岗厦北站,西乡站,39
宝安中心站,西乡站,3031
宝华站,西乡站,731
大学城站,西乡站,724
大剧院站,西乡站,499
塘朗站,西乡站,585
通新岭站,西乡站,39
吉祥站,西乡站,30
塘坑站,西乡站,33
南联站,西乡站,31
双龙站,西乡站,62
大新站,西乡站,1561
后海站,西乡站,1035
莲花西站,西乡站,82
西乡站,莲花村站,15
翠竹站,西乡站,77
荷坳站,西乡站,19
老街站,西乡站,519
莲花北站,西乡站,43
翻身站,西乡站,999
红树湾站,西乡站,23
罗湖站,西乡站,487
白石龙站,西乡站,99
百鸽笼站,西乡站,86
西乡站,白石洲站,713
华侨城站,西乡站,187
丹竹头站,西乡站,72
东角头站,西乡站,57
下水径站,西乡站,117
前海湾站,西乡站,91
西乡站,侨城东站,423
西乡站,湖贝站,60
华强北站,西乡站,50
世界之窗站,西乡站,569
西乡站,侨城北站,187
六约站,西乡站,41
西乡站,会展中心站,597
侨香站,西乡站,115
兴东站,西乡站,1702
临海站,西乡站,9
华新站,西乡站,35
五和站,西乡站,803
上水径站,西乡站,97
国贸站,西乡站,376
固戍站,西乡站,6497
后瑞站,西乡站,3402
福永站,西乡站,55
南山站,西乡站,591
机场站,西乡站,57
西乡站,碧海湾站,9
宝安站,西乡站,11
桥头站,西乡站,42
香蜜湖站,西乡站,151
西乡站,鲤鱼门站,584
大芬站,西乡站,54
太安站,西乡站,30
大运站,西乡站,28
西乡站,福田口岸站,130
竹子林站,西乡站,319
西乡站,福田站,169
红山站,西乡站,102
科学馆站,西乡站,338
科苑站,西乡站,599
红岭站,西乡站,43
上梅林站,西乡站,95
西乡站,高新园站,5790
西乡站,香蜜站,23
安托山站,西乡站,25
坂田站,西乡站,337
西乡站,福民站,89
少年宫站,西乡站,96
岗厦站,西乡站,376
坪洲站,西乡站,1342
宝体站,西乡站,1332
市民中心站,西乡站,100
西乡站,益田站,112
西乡站,石厦站,81
西乡站,深湾站,2
布吉站,西乡站,244
上塘站,西乡站,113
西乡站,深圳湾公园站,108
民治站,西乡站,801
怡景站,西乡站,42
民乐站,西乡站,101
布心站,西乡站,25
西乡站,横岗站,50
新安站,西乡站,822
西乡站,蛇口港站,35
长龙站,草埔站,366
长龙站,香梅北站,74
龙井站,长龙站,89
龙城广场站,长龙站,241
珠光站,长龙站,100
龙华站,长龙站,407
沙尾站,长龙站,155
上沙站,长龙站,74
皇岗村站,长龙站,60
农林站,长龙站,59
桃源村站,长龙站,56
长龙站,皇岗口岸站,102
西丽湖站,长龙站,20
深云站,长龙站,23
茶光站,长龙站,92
华强路站,长龙站,242
龙胜站,长龙站,267
长龙站,黄贝岭站,1721
红树湾南站,长龙站,4
红岭北站,长龙站,422
笋岗站,长龙站,576
赤尾站,长龙站,190
洪湖站,长龙站,246
华强南站,长龙站,275
黄木岗站,长龙站,205
八卦岭站,长龙站,491
下沙站,长龙站,238
文锦站,长龙站,3
梅景站,长龙站,86
香梅站,长龙站,34
长龙站,人民南站,36
长龙站,向西村站,16
长龙站,下梅林站,82
长龙站,鹿丹村站,29
长龙站,松岗站,60
长龙站,马安山站,32
长龙站,梅村站,50
长龙站,孖岭站,85
红岭南站,长龙站,36
长龙站,沙井站,81
长龙站,后亭站,26
泥岗站,长龙站,79
园岭站,长龙站,303
长龙站,碧头站,26
银湖站,长龙站,31
长龙站,塘尾站,30
水贝站,长龙站,354
深康站,长龙站,13
清湖站,长龙站,528
深大站,长龙站,187
深圳北站,长龙站,1881
水湾站,长龙站,70
湾厦站,长龙站,35
爱联站,长龙站,230
田贝站,长龙站,968
燕南站,长龙站,1069
登良站,长龙站,76
灵芝站,长龙站,431
留仙洞站,长龙站,299
海月站,长龙站,78
洪浪北站,长龙站,257
永湖站,长龙站,139
海上世界站,长龙站,49
机场东站,长龙站,51
新秀站,长龙站,326
晒布站,长龙站,426
长龙站,桃园站,95
景田站,长龙站,248
杨美站,长龙站,1672
木棉湾站,长龙站,278
长龙站,岗厦北站,380
长龙站,宝安中心站,174
长龙站,宝华站,80
大学城站,长龙站,435
大剧院站,长龙站,2279
长龙站,塘朗站,376
通新岭站,长龙站,172
长龙站,吉祥站,258
长龙站,塘坑站,338
长龙站,南联站,205
长龙站,双龙站,386
大新站,长龙站,119
长龙站,后海站,245
长龙站,莲花西站,176
长龙站,莲花村站,96
翠竹站,长龙站,485
荷坳站,长龙站,118
老街站,长龙站,966
莲花北站,长龙站,93
翻身站,长龙站,236
红树湾站,长龙站,41
罗湖站,长龙站,539
白石龙站,长龙站,137
